Platform,Dataset Size,Training Time (ms),Inference Time (ms),MSE,R2
tensorflow_js_cpu,10%,2653.5,15.900000005960464,3158676224,0.5872045755386353
tensorflow_js_wasm,10%,1641.7000000029802,33,3158682112,0.5872048139572144
rust_wasm_cpu,10%,85.09999999403954,0.10000000894069672,4207718342.946519,0.450109222627347
tensorflow_js_webgpu,10%,2055.4000000059605,40.099999994039536,3175388672,0.5872044563293457
python_gpu,10%,5788.410425186157,1094.4488048553467,3158676992.0,0.5872044563293457
tensorflow_js_cpu,50%,12813.5,78,3463432704,0.5881986021995544
tensorflow_js_wasm,50%,9751.39999999106,802.7000000029802,3463326208,0.588146448135376
rust_wasm_cpu,50%,362.8999999910593,0.5,4766455636.430651,0.4332694864423926
tensorflow_js_webgpu,50%,6954.800000011921,202.79999999701977,3480211456,0.5921199321746826
python_gpu,50%,14608.394622802734,4353.08313369751,3463432448.0,0.5881986618041992
tensorflow_js_cpu,100%,27512.59999999404,171.70000000298023,3613063936,0.5726776123046875
tensorflow_js_wasm,100%,26612.29999999702,2747.5,3612185600,0.5728174448013306
rust_wasm_cpu,100%,776.1000000089407,1.0999999940395355,4887961151.543585,0.4218936664347952
tensorflow_js_webgpu,100%,13367.20000000298,801.7000000029802,3612904192,0.5726737380027771
python_gpu,100%,23889.766693115234,7890.973806381226,3612838656.0,0.5727041959762573
