Platform,Dataset Size,Training Time (ms),Inference Time (ms),Accuracy,Loss
tensorflow_js_cpu,10%,17598.5,0.5,0.8730000257492065,0.44014161825180054
tensorflow_js_wasm,10%,11315.29999999702,0.3999999910593033,0.8799999952316284,0.4170832633972168
rust_wasm_cpu,10%,62280.20000000298,6244,0.5280212787255645,11.272848204193158
tensorflow_js_webgpu,10%,4921.5,0.30000001192092896,0.8710000514984131,0.41951218247413635
python_gpu,10%,8222.294284998497,341.2564009995549,0.8809999823570251,0.4090037941932678
tensorflow_js_cpu,50%,86906.90000000596,0.7000000029802322,0.9128000140190125,0.28474026918411255
tensorflow_js_wasm,50%,55469.79999999702,0.8999999910593033,0.9172000288963318,0.28745660185813904
rust_wasm_cpu,50%,62308.09999999404,5981.4000000059605,0.7773693807520567,5.667835329904908
tensorflow_js_webgpu,50%,24067.39999999106,0.30000001192092896,0.9124000668525696,0.2920381426811218
python_cpu,50%,26023.071586998412,257.9951750012697,0.9151999950408936,0.2827926278114319
tensorflow_js_cpu,100%,174762.10000000894,0.7000000029802322,0.9527999758720398,0.15920490026474
tensorflow_js_wasm,100%,114467,1.5,0.9517999887466431,0.1594102680683136
rust_wasm_cpu,100%,64725.40000000596,6319.79999999702,0.8348172412300322,4.132088220490774
tensorflow_js_webgpu,100%,51080.39999999106,1.1000000089406967,0.9521000385284424,0.16239945590496063
python_gpu,100%,48455.89059800113,263.3690009970451,0.9544000029563904,0.15373913943767548
